PO_ID,Product_ID,Stock,Retail Price
1,Dress,17,200
2,Pants,11,250
3,Set boy,14,210
4,Set pajamas,14,60
5,Shorts,15,30
6,Toy gun,12,70
7,Accessories,12,90
8,Animal costume,11,210
9,Assorted items,11,440
10,Baby dress,16,100
11,Bag,15,140
12,Bag big,11,180
13,Bag small,11,130
14,Bath towel,13,60
15,Blanket,22,50
16,Blazer,11,230
17,Blouse,43,100
18,Brief,11,50
19,Chinese dress,14,290
20,Crown,11,30
21,Dress,304,200
22,Dress/accessories,11,530
23,Elsa dress,12,440
24,Hat,18,30
25,Jacket,19,130
26,Jacket girl,11,360
27,Jumper,18,130
28,Leggings,23,90
29,Long gown,13,150
30,Long sleeve,12,140
31,Mask,11,30
32,Muscle batman,11,300
33,Overall,14,210
34,Pajamas,24,50
35,Pants,40,250
36,"Pants, red #18",11,100
37,Pillow,11,80
38,Polo blouse,11,140
39,Polo shirt,47,280
40,Red pajamas,11,100
41,Sando,13,50
42,Sash,11,50
43,Scarf,13,20
44,Set army,18,270
45,Set boy,331,210
46,Set girl,158,130
47,Set pajamas,36,60
48,Set skirt,11,200
49,Shoes,15,30
50,Shorts,56,30
51,Skirt,22,50
52,Swimsuit,12,250
53,Tinkerbell costume,11,250
54,Towel,15,90
55,Toy hammer,15,70
56,Toy wand,13,20
57,T-shirt,29,30
58,Wand,11,20
59,Baby,11,100
60,Baby dress,11,100
61,Backpack,12,100
62,Bag,12,140
63,Barong,12,100
64,Belt,11,100
65,Bike Lock,11,100
66,Birds eye cloth,11,100
67,Blouse,29,100
68,Brief,21,50
69,Cap,11,25
70,Chinese pants,11,100
71,Comforter,14,50
72,Costume,11,210
73,Costume M,11,100
74,Crown,24,30
75,Darna,11,100
76,Diaper,13,50
77,Dress,101,200
78,Gauze cloth,11,50
79,Hat,34,30
80,Headband,12,25
81,Jacket,21,130
82,Khaki Pants,12,100
83,Long gown,13,150
84,Long sleeve,11,140
85,Mask,12,30
86,Mittens,13,50
87,Orange costume,12,100
88,Overall,13,210
89,Pajamas,60,50
90,Pants,24,250
91,Panty,32,50
92,Polo shirt,21,280
93,Sando,37,50
94,Scarf,12,20
95,Set boy,75,210
96,Set girl,28,130
97,Set toy,11,50
98,Shoes,18,30
99,Shorts,70,30
100,Siggim,14,50
101,Skirt,15,50
102,Slippers,20,50
103,Swimsuit,15,250
104,Towel,12,90
105,Toy gun,11,70
106,Toy hammer,12,70
107,T-shirt,30,30
108,Tuxedo,11,100
109,Uniform,13,100
110,Uniform Pants,12,100
111,Wand,11,20
112,Apple Costume,11,50
113,Baby Binder,11,50
114,Baby Carrier,11,50
115,Bag,44,140
116,Barong,12,50
117,Belt,12,50
118,Bike Lock,11,50
119,Birds eye cloth,11,50
120,Blanket,27,50
121,Blouse,19,100
122,Brief,12,50
123,B-sheet,11,50
124,Cap,11,25
125,Chinese dress,14,290
126,Comforter,21,50
127,Crown,12,30
128,Diaper,12,50
129,Dress,109,200
130,Hat,13,30
131,Headband,11,50
132,Infant,11,100
133,Infant Dress,11,100
134,Jacket,15,130
135,Jumper,12,130
136,Leggings,12,90
137,Muslim Costume,11,100
138,Necktie,13,25
139,Overall,12,210
140,Pajamas,40,50
141,Pants,52,250
142,Panty,12,50
143,Polo shirt,13,280
144,Sando,18,50
145,Sash,11,50
146,Scarf,12,20
147,Set army,11,270
148,Set barong,12,100
149,Set boy,39,210
150,Set costume,11,100
151,Set girl,20,130
152,Shield,11,100
153,Shoes,12,30
154,Shorts,41,30
155,Skirt,11,50
156,Swimsuit,13,250
157,Towel,22,90
158,Toy gun,11,70
159,T-shirt,33,30
160,Tuxedo,11,100
161,Uniform,13,100
