Product_ID,Product Name,Category_ID
Dress,Dress,DRESS
Pants,Pants,BOTTOM
Set boy,Set boy,COST-M
Set pajamas,Set pajamas,PJMS
Shorts,Shorts,BOTTOM
Toy gun,Toy gun,TOY
Accessories,Accessories,MISC
Animal costume,Animal costume,COST-M
Assorted items,Assorted items,MISC
Baby dress,Baby dress,BABY
Bag,Bag,BAG
Bag big,Bag big,BAG
Bag small,Bag small,BAG
Bath towel,Bath towel,MISC
Blanket,Blanket,MISC
Blazer,Blazer,TOP
Blouse,Blouse,TOP
Brief,Brief,MISC
Chinese dress,Chinese dress,DRESS
Crown,Crown,MISC
Dress/accessories,Dress/accessories,DRESS
Elsa dress,Elsa dress,DRESS
Hat,Hat,MISC
Jacket,Jacket,TOP
Jacket girl,Jacket girl,TOP
Jumper,Jumper,BOTTOM
Leggings,Leggings,BOTTOM
Long gown,Long gown,DRESS
Long sleeve,Long sleeve,TOP
Mask,Mask,MISC
Muscle batman,Muscle batman,COST-M
Overall,Overall,BABY
Pajamas,Pajamas,PJMS
"Pants, red #18","Pants, red #18",BOTTOM
Pillow,Pillow,MISC
Polo blouse,Polo blouse,TOP
Polo shirt,Polo shirt,TOP
Red pajamas,Red pajamas,PJMS
Sando,Sando,TOP
Sash,Sash,MISC
Scarf,Scarf,MISC
Set army,Set army,COST-M
Set girl,Set girl,COST-W
Set skirt,Set skirt,BOTTOM
Shoes,Shoes,MISC
Skirt,Skirt,BOTTOM
Swimsuit,Swimsuit,SWIM
Tinkerbell costume,Tinkerbell costume,COST-W
Towel,Towel,MISC
Toy hammer,Toy hammer,TOY
Toy wand,Toy wand,TOY
T-shirt,T-shirt,TOP
Wand,Wand,TOY
Baby,Baby,BABY
Backpack,Backpack,BAG
Barong,Barong,TOP
Belt,Belt,MISC
Bike Lock,Bike Lock,MISC
Birds eye cloth,Birds eye cloth,MISC
Cap,Cap,MISC
Chinese pants,Chinese pants,BOTTOM
Comforter,Comforter,MISC
Costume,Costume,COST-M
Costume M,Costume M,COST-M
Darna,Darna,COST-W
Diaper,Diaper,MISC
Gauze cloth,Gauze cloth,MISC
Headband,Headband,MISC
Khaki Pants,Khaki Pants,BOTTOM
Mittens,Mittens,MISC
Orange costume,Orange costume,COST-M
Panty,Panty,MISC
Set toy,Set toy,TOY
Siggim,Siggim,MISC
Slippers,Slippers,MISC
Tuxedo,Tuxedo,BABY
Uniform,Uniform,COST-M
Uniform Pants,Uniform Pants,BOTTOM
Apple Costume,Apple Costume,COST-M
Baby Binder,Baby Binder,MISC
Baby Carrier,Baby Carrier,MISC
B-sheet,B-sheet,MISC
Infant,Infant,BABY
Infant Dress,Infant Dress,BABY
Muslim Costume,Muslim Costume,COST-M
Necktie,Necktie,MISC
Set barong,Set barong,COST-M
Set costume,Set costume,COST-M
Shield,Shield,TOY
