City_ID,Buyer City,Region_ID
La Union,La Union,North Luzon
Zambales,Zambales,North Luzon
Metro Manila,Metro Manila,Metro Manila
Camarines Sur,Camarines Sur,South Luzon
Rizal,Rizal,South Luzon
Batangas,Batangas,South Luzon
Cavite,Cavite,South Luzon
Bulacan,Bulacan,North Luzon
Quezon,Quezon,South Luzon
Laguna,Laguna,South Luzon
Benguet,Benguet,North Luzon
Pampanga,Pampanga,North Luzon
Iloilo,Iloilo,Visayas
Pangasinan,Pangasinan,North Luzon
Leyte,Leyte,Visayas
Zamboanga Del Sur,Zamboanga Del Sur,Mindanao
Bataan,Bataan,North Luzon
Camarines Norte,Camarines Norte,South Luzon
Oriental Mindoro,Oriental Mindoro,South Luzon
Nueva Ecija,Nueva Ecija,North Luzon
Catanduanes,Catanduanes,South Luzon
Masbate,Masbate,South Luzon
Cagayan,Cagayan,North Luzon
Capiz,Capiz,Visayas
Davao Del Sur,Davao Del Sur,Mindanao
Isabela,Isabela,North Luzon
Lanao Del Norte,Lanao Del Norte,Mindanao
Ilocos Sur,Ilocos Sur,North Luzon
Aurora,Aurora,North Luzon
Albay,Albay,South Luzon
Sultan Kudarat,Sultan Kudarat,Mindanao
Compostela Valley,Compostela Valley,Mindanao
Sorsogon,Sorsogon,South Luzon
Surigao Del Norte,Surigao Del Norte,Mindanao
Davao Oriental,Davao Oriental,Mindanao
Tarlac,Tarlac,North Luzon
Negros Occidental,Negros Occidental,Visayas
Aklan,Aklan,Visayas
Davao Del Norte,Davao Del Norte,Mindanao
Maguindanao,Maguindanao,Mindanao
Misamis Oriental,Misamis Oriental,Mindanao
Agusan Del Sur,Agusan Del Sur,Mindanao
Ilocos Norte,Ilocos Norte,North Luzon
Quirino,Quirino,North Luzon
Occidental Mindoro,Occidental Mindoro,South Luzon
South Cotabato,South Cotabato,Mindanao
Kalinga,Kalinga,North Luzon
Cebu,Cebu,Visayas
Nueva Vizcaya,Nueva Vizcaya,North Luzon
Abra,Abra,North Luzon
Basilan,Basilan,Mindanao
Marinduque,Marinduque,South Luzon
Palawan,Palawan,South Luzon
Bohol,Bohol,Visayas
Agusan Del Norte,Agusan Del Norte,Mindanao
Zamboanga Sibugay,Zamboanga Sibugay,Mindanao
Misamis Occidental,Misamis Occidental,Mindanao
Apayao,Apayao,North Luzon
North Cotabato,North Cotabato,Mindanao
Negros Oriental,Negros Oriental,Visayas
Cotabato,Cotabato,Mindanao
Bukidnon,Bukidnon,Mindanao
Western Samar,Western Samar,Visayas
Zamboanga Del Norte,Zamboanga Del Norte,Mindanao
Guimaras,Guimaras,Visayas
Antique,Antique,Visayas
Ifugao,Ifugao,North Luzon
Biliran,Biliran,Visayas
Eastern Samar,Eastern Samar,Visayas
Surigao Del Sur,Surigao Del Sur,Mindanao
Sulu,Sulu,Mindanao
Lanao Del Sur,Lanao Del Sur,Mindanao
Southern Leyte,Southern Leyte,Visayas
Sarangani,Sarangani,Mindanao
Romblon,Romblon,South Luzon
Dinagat Islands,Dinagat Islands,Mindanao
Northern Samar,Northern Samar,Visayas
Tondo,Tondo,Metro Manila
Quezon City,Quezon City,Metro Manila
Caloocan,Caloocan,Metro Manila
Pasig,Pasig,Metro Manila
Makati,Makati,Metro Manila
Pasay,Pasay,Metro Manila
Bicol,Bicol,South Luzon
Baguio,Baguio,North Luzon
Ilocos,Ilocos,North Luzon
Batanes,Batanes,North Luzon
Las Pinas,Las Pinas,South Luzon
Paranaque,Paranaque,Metro Manila
San Juan,San Juan,Metro Manila
Soccsksargen,Soccsksargen,Mindanao
Samar,Samar,Visayas
Davao,Davao,Mindanao
Dagupan,Dagupan,North Luzon
Moriones,Moriones,North Luzon
Cagayan Valley,Cagayan Valley,North Luzon
Portel,Portel,Portugal
Mindoro,Mindoro,South Luzon
