Sale_ID,Sale Date,Store_ID,City_ID
1501,1/1/2022,O,La Union
1502,1/1/2022,O,Zambales
1503,1/2/2022,O,Metro Manila
1504,1/1/2022,O,Camarines Sur
1505,1/1/2022,O,Camarines Sur
1506,1/2/2022,O,Metro Manila
1507,1/3/2022,O,Rizal
1508,1/3/2022,O,Rizal
1509,1/2/2022,O,Rizal
1510,1/2/2022,O,Rizal
1511,1/3/2022,O,Metro Manila
1512,1/1/2022,O,Batangas
1513,1/1/2022,O,Batangas
1514,1/4/2022,O,Cavite
1515,1/5/2022,O,Bulacan
1516,1/5/2022,O,Bulacan
1517,1/5/2022,O,Bulacan
1518,1/5/2022,O,Metro Manila
1519,1/4/2022,O,Quezon
1520,1/4/2022,O,Quezon
1521,1/3/2022,O,Rizal
1522,1/4/2022,O,Batangas
1523,1/4/2022,O,Batangas
1524,1/4/2022,O,Batangas
1525,1/4/2022,O,Laguna
1526,1/4/2022,O,Laguna
1527,1/6/2022,O,Benguet
1528,1/4/2022,O,Pampanga
1529,1/7/2022,O,Bulacan
1530,1/7/2022,O,Bulacan
1531,1/7/2022,O,Metro Manila
1532,1/5/2022,O,Metro Manila
1533,1/6/2022,O,Cavite
1534,1/7/2022,O,Cavite
1535,1/4/2022,O,Metro Manila
1536,1/5/2022,O,Metro Manila
1537,1/2/2022,O,Bulacan
1538,1/7/2022,O,Cavite
1539,1/8/2022,O,La Union
1540,1/8/2022,O,La Union
1541,1/7/2022,O,Bulacan
1542,1/7/2022,O,Bulacan
1543,1/3/2022,O,Laguna
1544,1/6/2022,O,Iloilo
1545,1/9/2022,O,Metro Manila
1546,1/2/2022,O,Metro Manila
1547,1/1/2022,O,Rizal
1548,1/8/2022,O,Metro Manila
1549,1/7/2022,O,Bulacan
1550,1/8/2022,O,Metro Manila
1551,1/8/2022,O,Metro Manila
1552,1/4/2022,O,Metro Manila
1553,1/8/2022,O,Camarines Sur
1554,1/8/2022,O,Camarines Sur
1555,1/7/2022,O,Pangasinan
1556,1/3/2022,O,Metro Manila
1557,1/4/2022,O,Pampanga
1558,1/2/2022,O,Leyte
1559,1/1/2022,O,Metro Manila
1560,1/8/2022,O,Metro Manila
1561,1/8/2022,O,Bulacan
1562,1/6/2022,O,Batangas
1563,1/5/2022,O,Zamboanga Del Sur
1564,1/5/2022,O,Zamboanga Del Sur
1565,1/5/2022,O,Zamboanga Del Sur
1566,1/5/2022,O,Zamboanga Del Sur
1567,1/5/2022,O,Bataan
1568,1/4/2022,O,Laguna
1569,1/5/2022,O,Metro Manila
1570,1/10/2022,O,Batangas
1571,1/10/2022,O,Camarines Norte
1572,1/9/2022,O,Oriental Mindoro
1573,1/4/2022,O,Rizal
1574,1/11/2022,O,Metro Manila
1575,1/9/2022,O,Laguna
1576,1/12/2022,O,Pampanga
1577,1/5/2022,O,Nueva Ecija
1578,1/5/2022,O,Nueva Ecija
1579,1/12/2022,O,Rizal
1580,1/12/2022,O,Rizal
1581,1/6/2022,O,Rizal
1582,1/6/2022,O,Rizal
1583,1/6/2022,O,Rizal
1584,1/6/2022,O,Rizal
1585,1/7/2022,O,Metro Manila
1586,1/5/2022,O,Pampanga
1587,1/7/2022,O,Metro Manila
1588,1/7/2022,O,Metro Manila
1589,1/5/2022,O,Metro Manila
1590,1/5/2022,O,Metro Manila
1591,1/5/2022,O,Catanduanes
1592,1/5/2022,O,Catanduanes
1593,1/4/2022,O,Masbate
1594,1/10/2022,O,Pampanga
1595,1/12/2022,O,Pampanga
1596,1/10/2022,O,Batangas
1597,1/12/2022,O,La Union
1598,1/13/2022,O,Cavite
1599,1/13/2022,O,Cavite
1600,1/8/2022,O,Iloilo
1601,1/6/2022,O,Batangas
1602,1/9/2022,O,Rizal
1603,1/8/2022,O,Bulacan
1604,1/10/2022,O,Metro Manila
1605,1/10/2022,O,Metro Manila
1606,1/10/2022,O,Metro Manila
1607,1/14/2022,O,Metro Manila
1608,1/11/2022,O,Bulacan
1609,1/11/2022,O,Bulacan
1610,1/13/2022,O,Laguna
1611,1/13/2022,O,Laguna
1612,1/14/2022,O,Cagayan
1613,1/14/2022,O,Cagayan
1614,1/14/2022,O,Cagayan
1615,1/16/2022,O,Rizal
1616,1/11/2022,O,Capiz
1617,1/8/2022,O,Metro Manila
1618,1/9/2022,O,Pangasinan
1619,1/8/2022,O,Quezon
1620,1/15/2022,O,Pangasinan
1621,1/5/2022,O,Davao Del Sur
1622,1/5/2022,O,Davao Del Sur
1623,1/13/2022,O,Batangas
1624,1/16/2022,O,Metro Manila
1625,1/16/2022,O,Metro Manila
1626,1/16/2022,O,Metro Manila
1627,1/15/2022,O,Isabela
1628,1/10/2022,O,Batangas
1629,1/10/2022,O,Batangas
1630,1/17/2022,O,Bataan
1631,1/14/2022,O,Isabela
1632,1/14/2022,O,Isabela
1633,1/14/2022,O,Isabela
1634,1/14/2022,O,Isabela
1635,1/17/2022,O,Metro Manila
1636,1/17/2022,O,Metro Manila
1637,1/17/2022,O,Metro Manila
1638,1/17/2022,O,Metro Manila
1639,1/17/2022,O,Metro Manila
1640,1/11/2022,O,Pangasinan
1641,1/11/2022,O,Cagayan
1642,1/10/2022,O,Metro Manila
1643,1/15/2022,O,Iloilo
1644,1/16/2022,O,Metro Manila
1645,1/15/2022,O,Cagayan
1646,1/15/2022,O,Cagayan
1647,1/19/2022,O,Bulacan
1648,1/8/2022,O,Lanao Del Norte
1649,1/8/2022,O,Lanao Del Norte
1650,1/17/2022,O,Benguet
1651,1/16/2022,O,Cavite
1652,1/14/2022,O,Iloilo
1653,1/17/2022,O,Cavite
1654,1/13/2022,O,Ilocos Sur
1655,1/19/2022,O,Metro Manila
1656,1/17/2022,O,Aurora
1657,1/18/2022,O,Metro Manila
1658,1/15/2022,O,Cavite
1659,1/15/2022,O,Cavite
1660,1/15/2022,O,Cavite
1661,1/11/2022,O,Benguet
1662,1/13/2022,O,Rizal
1663,1/10/2022,O,Ilocos Sur
1664,1/10/2022,O,Ilocos Sur
1665,1/10/2022,O,Ilocos Sur
1666,1/10/2022,O,Ilocos Sur
1667,1/10/2022,O,Ilocos Sur
1668,1/10/2022,O,Ilocos Sur
1669,1/14/2022,O,La Union
1670,1/15/2022,O,Bulacan
1671,1/15/2022,O,Isabela
1672,1/18/2022,O,Metro Manila
1673,1/18/2022,O,Metro Manila
1674,1/20/2022,O,Bulacan
1675,1/20/2022,O,Bulacan
1676,1/13/2022,O,Catanduanes
1677,1/17/2022,O,Cavite
1678,1/18/2022,O,Metro Manila
1679,1/18/2022,O,Cagayan
1680,1/17/2022,O,Iloilo
1681,1/21/2022,O,Benguet
1682,1/16/2022,O,Laguna
1683,1/17/2022,O,Bulacan
1684,1/21/2022,O,Metro Manila
1685,1/18/2022,O,Pangasinan
1686,1/18/2022,O,Pangasinan
1687,1/18/2022,O,Pangasinan
1688,1/18/2022,O,Pangasinan
1689,1/20/2022,O,Quezon
1690,1/20/2022,O,Metro Manila
1691,1/21/2022,O,Metro Manila
1692,1/15/2022,O,Batangas
1693,1/15/2022,O,Batangas
1694,1/21/2022,O,Metro Manila
1695,1/16/2022,O,Isabela
1696,1/16/2022,O,Isabela
1697,1/20/2022,O,Metro Manila
1698,1/18/2022,O,Albay
1699,1/23/2022,O,Pampanga
1700,1/17/2022,O,Metro Manila
1701,1/19/2022,O,Batangas
1702,1/19/2022,O,Batangas
1703,1/19/2022,O,Batangas
1704,1/20/2022,O,Masbate
1705,1/15/2022,O,Benguet
1706,1/20/2022,O,Cavite
1707,1/15/2022,O,Batangas
1708,1/17/2022,O,Rizal
1709,1/22/2022,O,Pangasinan
1710,1/21/2022,O,Laguna
1711,1/22/2022,O,Isabela
1712,1/21/2022,O,Laguna
1713,1/11/2022,O,Sultan Kudarat
1714,1/23/2022,O,Pampanga
1715,1/22/2022,O,Metro Manila
1716,1/22/2022,O,Metro Manila
1717,1/22/2022,O,Metro Manila
1718,1/21/2022,O,Isabela
1719,1/21/2022,O,Isabela
1720,1/23/2022,O,Metro Manila
1721,1/23/2022,O,Metro Manila
1722,1/17/2022,O,Laguna
1723,1/17/2022,O,Cavite
1724,1/15/2022,O,Metro Manila
1725,1/15/2022,O,Metro Manila
1726,1/19/2022,O,Pampanga
1727,1/19/2022,O,Pampanga
1728,1/22/2022,O,Cavite
1729,1/24/2022,O,Rizal
1730,1/23/2022,O,Zambales
1731,1/19/2022,O,Zamboanga Del Sur
1732,1/19/2022,O,Zamboanga Del Sur
1733,1/22/2022,O,Metro Manila
1734,1/21/2022,O,Davao Del Sur
1735,1/22/2022,O,Compostela Valley
1736,1/24/2022,O,Metro Manila
1737,1/18/2022,O,Metro Manila
1738,1/23/2022,O,Metro Manila
1739,1/19/2022,O,Metro Manila
1740,1/18/2022,O,Rizal
1741,1/18/2022,O,Bulacan
1742,1/18/2022,O,Bulacan
1743,1/21/2022,O,Iloilo
1744,1/22/2022,O,Pampanga
1745,1/21/2022,O,Metro Manila
1746,1/23/2022,O,Quezon
1747,1/24/2022,O,Rizal
1748,1/23/2022,O,Sorsogon
1749,1/23/2022,O,Sorsogon
1750,1/22/2022,O,Surigao Del Norte
1751,1/22/2022,O,Surigao Del Norte
1752,1/20/2022,O,Pampanga
1753,1/20/2022,O,Pampanga
1754,1/17/2022,O,Davao Oriental
1755,1/17/2022,O,Davao Oriental
1756,1/20/2022,O,Bulacan
