Sale_ID,Product_ID,Quantity,Sale Price
1501,Muscle Captain America Costume for Kids,1,580
1502,Muscle Thor Costume for Kids with Mask and Cape,1,580
1503,Animal Costume Giraffe for Kids,1,380
1504,Squid Game Guard Costume for Kids with Mask and Toy,1,620
1505,Squid Game Guard Costume for Kids with Mask and Toy,1,580
1506,Squid Game Guard Costume for Kids with Mask and Toy,1,420
1507,Thor Toy Hammer for Kids,1,120
1508,Thor Costume for Kids with Mask and Cape,1,380
1509,Squid Game Guard Costume for Kids with Mask and Toy,1,420
1510,Squid Game Guard Costume for Kids with Mask and Toy,1,420
1511,"Princess Elsa Accessories (Crown, Wand, and Hair)",1,120
1512,Thor Toy Hammer for Kids,1,120
1513,Thor Costume for Kids with Mask and Cape,1,380
1514,Squid Game Guard Costume for Kids with Mask and Toy,1,620
1515,Toy Gun Rifle for Kids with Lights and Sounds,1,180
1516,"Superhero Masks - Thor, Ironman, Bumblebee",1,50
1517,Squid Game Masks for Kids,1,80
1518,Squid Game Guard Costume for Kids with Mask and Toy,1,380
1519,Thor Costume for Kids with Mask and Cape,1,380
1520,Thor Toy Hammer for Kids,1,120
1521,Muscle Superman Costume for Kids,1,580
1522,Thor Toy Hammer for Kids,1,120
1523,Superman Costume for Kids (Satin),1,380
1524,Batman Costume for Kids (Satin),1,380
1525,Thor Toy Hammer for Kids,1,120
1526,"Superhero Masks - Thor, Ironman, Bumblebee",1,50
1527,Squid Game Masks for Kids,1,80
1528,Squid Game Guard Costume for Kids with Mask and Toy,1,580
1529,Thor Costume for Kids with Mask and Cape,1,380
1530,Thor Toy Hammer for Kids,1,120
1531,Squid Game Masks for Kids,1,80
1532,Thor Toy Hammer for Kids,1,120
1533,Toy Gun Rifle for Kids with Lights and Sounds,1,180
1534,Animal Costume Panda for Kids,1,380
1535,Darna Costume for Kids,1,360
1536,Muscle Hulk Costume for Kids with Mask,1,580
1537,Thor Toy Hammer for Kids,1,120
1538,Red Cars Costume for Kids (Satin),1,380
1539,Thor Toy Hammer for Kids,1,120
1540,Thor Costume for Kids with Mask and Cape,1,380
1541,Muscle Thor Costume for Kids with Mask and Cape,1,580
1542,Thor Toy Hammer for Kids,1,120
1543,Squid Game Guard Costume for Kids with Mask and Toy,1,620
1544,Thor Toy Hammer for Kids,1,120
1545,Minnie Mouse Red Polka Dots Dress Costume for Kids,1,380
1546,Red Cars Costume for Kids (Satin),1,380
1547,Iron Man Costume for Kids with Mask (Satin),1,380
1548,Squid Game Masks for Kids,1,80
1549,Transformers Bumblebee Costume for Kids with mask,1,380
1550,Muscle Captain America Costume for Kids,1,580
1551,Catboy Costume Set PJ Masks,1,360
1552,Squid Game Guard Costume for Kids with Mask and Toy,1,620
1553,Thor Costume for Kids with Mask and Cape,1,380
1554,Thor Toy Hammer for Kids,1,120
1555,Superman Costume for Kids (Satin),1,380
1556,Squid Game Guard Costume for Kids with Mask and Toy,1,420
1557,Thor Toy Hammer for Kids,1,120
1558,Squid Game Guard Costume for Kids with Mask and Toy,1,620
1559,Squid Game Guard Costume for Kids with Mask and Toy,1,620
1560,Thor Toy Hammer for Kids,1,120
1561,Muscle Captain America Costume for Kids,1,580
1562,Hulk Costume for Kids with Mask (Satin),1,360
1563,Muscle Iron Man Costume for Kids with Mask,1,580
1564,Spider-man Swimsuit for Kids,1,420
1565,Muscle Captain America Costume for Kids,1,580
1566,Superman Brief for Boy (6-in-1 or per piece),1,180
1567,Darna Costume for Kids,1,360
1568,Squid Game Masks for Kids,1,80
1569,Red Cars Costume for Kids (Satin),1,380
1570,Iron Man Costume for Kids with Mask (Satin),1,380
1571,Iron Man Costume for Kids with Mask (Satin),1,380
1572,Thor Toy Hammer for Kids,1,120
1573,Muscle Thor Costume for Kids with Mask and Cape,1,580
1574,Iron Man Costume for Kids with Mask (Satin),1,380
1575,Minnie Mouse Red Polka Dots Dress Costume for Kids,1,380
1576,"Superhero Masks - Thor, Ironman, Bumblebee",1,50
1577,Thor Toy Hammer for Kids,1,120
1578,"Superhero Masks - Thor, Ironman, Bumblebee",1,50
1579,Sofia Crown for Kids Pink or Purple,1,50
1580,Sofia Crown for Kids Pink or Purple,1,50
1581,Thor Costume for Kids with Mask and Cape,1,380
1582,Thor Toy Hammer for Kids,1,120
1583,Thor Toy Hammer for Kids,1,120
1584,Muscle Thor Costume for Kids with Mask and Cape,1,580
1585,Army Costume for Kids with Cap,1,540
1586,Thor Toy Hammer for Kids,1,120
1587,Spider-Girl Costume for Kids (Satin),1,360
1588,Muscle Iron Man Costume for Kids with Mask,1,580
1589,Squid Game Guard Costume for Kids with Mask and Toy,1,580
1590,Squid Game Guard Costume for Kids with Mask and Toy,1,580
1591,Squid Game Guard Costume for Kids with Mask and Toy,1,150
1592,Squid Game Guard Costume for Kids with Mask and Toy,1,380
1593,Squid Game Guard Costume for Kids with Mask and Toy,1,620
1594,Ninja Turtle Costume for Kids with Mask and Shell,1,380
1595,Animal Costume Bear for Kids,1,360
1596,Toy Gun Rifle for Kids with Lights and Sounds,1,180
1597,Thor Costume for Kids with Mask and Cape,1,380
1598,Thor Costume for Kids with Mask and Cape,1,380
1599,Thor Toy Hammer for Kids,1,120
1600,Thor Costume for Kids with Mask and Cape,1,380
1601,Muscle Iron Man Costume for Kids with Mask,1,580
1602,Iron Man Costume for Kids with Mask (Satin),1,380
1603,Transformers Bumblebee Costume for Kids with mask,1,380
1604,Muscle Thor Costume for Kids with Mask and Cape,1,580
1605,Thor Toy Hammer for Kids,1,120
1606,Iron Man Costume for Kids with Mask (Satin),1,380
1607,Thor Toy Hammer for Kids,2,120
1608,Darna Costume for Kids,1,360
1609,Iron Man Costume for Kids with Mask (Satin),1,380
1610,Animal Costume Elephant for Kids,1,380
1611,Animal Costume Zebra for Kids,1,380
1612,Muscle Iron Man Costume for Kids with Mask,1,580
1613,Thor Costume for Kids with Mask and Cape,1,380
1614,Thor Toy Hammer for Kids,1,120
1615,Animal Costume Duck for Kids,1,380
1616,Squid Game Masks for Kids,1,80
1617,Toy Gun Rifle for Kids with Lights and Sounds,1,180
1618,Superman Costume for Kids (Satin),1,380
1619,Iron Man Costume for Kids with Mask (Satin),1,380
1620,Army Costume for Kids with Cap,1,540
1621,Muscle Spider-man Costume for Kids,1,580
1622,Muscle Superman Costume for Kids,1,580
